"filename","function","line_no","CEC"
"git/realtime/lib/realtime/messages.ex","replay",26,3
"git/firezone/elixir/lib/portal_web/plugs/fetch_subject.ex","call",19,1
"git/asciinema-server/lib/asciinema/recordings/asciicast/v3.ex","parse_event",33,1
"git/asciinema-server/lib/asciinema/recordings/asciicast/v3.ex","parse_header",73,4
"git/electric/examples/burn/lib/burn/cleanup.ex","threads_older_than",16,1
"git/asciinema-server/lib/asciinema_web/authentication.ex","try_log_in_from_session",22,1
"git/asciinema-server/lib/asciinema_web/authentication.ex","try_log_in_from_cookie",31,1
"git/asciinema-server/lib/asciinema_web/authentication.ex","get_basic_auth",89,1
"git/firezone/elixir/lib/portal_api/controllers/integrations/stripe/webhook_controller.ex","handle_webhook",10,7
"git/analytics/extra/lib/plausible/plugins/api/funnels.ex","create",24,1
"git/analytics/extra/lib/plausible_web/controllers/help_scout_controller.ex","callback",14,2
"git/analytics/extra/lib/plausible_web/controllers/help_scout_controller.ex","show",50,1
"git/analytics/lib/plausible_web/controllers/settings_controller.ex","update_email",295,2
"git/analytics/lib/plausible_web/controllers/settings_controller.ex","update_password",342,2
"git/analytics/lib/plausible_web/controllers/settings_controller.ex","do_update_password",404,2
"git/electric/packages/sync-service/lib/electric/replication/log_offset.ex","from_string",377,1
"git/realtime/lib/realtime_web/plugs/assign_tenant.ex","call",20,1
"git/phoenix_live_view/lib/phoenix_live_view/test/tree_dom.ex","attribute",37,1
"git/electric/packages/sync-service/lib/electric/shape_cache/in_memory_storage.ex","current_offset",116,1
"git/ash/lib/ash/resource/change/cascade_destroy.ex","change",104,1
"git/ash/lib/ash/resource/change/cascade_destroy.ex","atomic",148,1
"git/ash/lib/ash/resource/change/cascade_destroy.ex","before_batch",165,1
"git/ash/lib/ash/resource/change/cascade_destroy.ex","after_batch",202,1
"git/firezone/elixir/lib/portal_web/cookie/authentication_state.ex","from_binary",71,1
"git/teslamate/lib/teslamate/vault.ex","init",51,1
"git/teslamate/lib/teslamate/vault.ex","get_encryption_key_from",114,1
"git/ash/lib/ash/actions/read/read.ex","do_run",459,3
"git/ash/lib/ash/actions/read/read.ex","do_read",583,2
"git/ash/lib/ash/actions/read/read.ex","do_read",661,1
"git/ash/lib/ash/actions/read/read.ex","do_read",798,1
"git/ash/lib/ash/actions/read/read.ex","data_layer_query",898,2
"git/ash/lib/ash/actions/read/read.ex","data_layer_query",1067,2
"git/ash/lib/ash/actions/read/read.ex","data_layer_query",1076,3
"git/ash/lib/ash/actions/read/read.ex","data_layer_query",1148,6
"git/ash/lib/ash/actions/read/read.ex","handle_aggregate_multitenancy",2827,2
"git/ash/lib/ash/actions/read/read.ex","query_aggregate_from_resource_aggregate",4444,2
"git/ash/lib/ash/actions/read/read.ex","authorize_aggregate",4536,1
"git/firezone/elixir/lib/portal_api/controllers/gateway_controller.ex","index",41,1
"git/firezone/elixir/lib/portal_api/controllers/gateway_controller.ex","show",70,1
"git/firezone/elixir/lib/portal_api/controllers/gateway_controller.ex","delete",102,1
"git/symphony/elixir/lib/mix/tasks/pr_body.check.ex","run",34,1
"git/symphony/elixir/lib/mix/tasks/pr_body.check.ex","capture_heading_section",179,3
"git/teslamate/lib/teslamate/settings.ex","update_global_settings",35,1
"git/teslamate/lib/teslamate/settings.ex","update_car_settings",49,1
"git/oban/lib/oban/engines/basic.ex","insert_unique",431,3
"git/electric/packages/sync-service/lib/electric/shapes/shape/subset.ex","new",26,2
"git/electric/packages/sync-service/lib/electric/shapes/shape/subset.ex","validate_where_clause",76,2
"git/firezone/elixir/lib/portal_api/gateway/views/client.ex","parse_user_agent",26,1
"git/ecto/lib/ecto/type.ex","cast_naive_datetime",1210,1
"git/phoenix_live_view/lib/phoenix_live_view/debug.ex","lv_process_dict",67,1
"git/firezone/elixir/lib/portal/google/api_client.ex","parse_batch_part",318,2
"git/analytics/lib/plausible/segments/segments.ex","insert_one",158,3
"git/analytics/lib/plausible/segments/segments.ex","update_one",192,3
"git/asciinema-server/lib/asciinema/workers/update_snapshot.ex","perform",15,3
"git/asciinema-server/lib/asciinema_web/controllers/webfinger_controller.ex","show",11,1
"git/nerves/lib/mix/tasks/firmware.ex","write_erlinit_config",233,2
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/log_file.ex","stream_entries",161,1
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/log_file.ex","stream_jsons",191,2
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/log_file.ex","trim",331,1
"git/analytics/lib/plausible_web/live/sites.ex","load_sort_preference",1070,1
"git/symphony/elixir/lib/symphony_elixir/codex/app_server.ex","start_session",47,1
"git/symphony/elixir/lib/symphony_elixir/codex/app_server.ex","validate_workspace_cwd",152,1
"git/pinchflat/lib/pinchflat/yt_dlp/media.ex","download",44,1
"git/electric/packages/electric-telemetry/lib/electric/telemetry/disk_usage.ex","load_cached_usage",118,1
"git/asciinema-server/lib/asciinema_web/controllers/oembed_controller.ex","show",9,1
"git/firezone/elixir/lib/portal_web/live/clients.ex","list_clients",395,2
"git/oban/lib/mix/tasks/oban.install.ex","extract_adapter_from_repo",177,1
"git/phoenix/lib/phoenix/debug.ex","socket_process_dict",53,1
"git/phoenix/lib/phoenix/debug.ex","channel_process?",88,1
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",394,4
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",531,4
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",590,4
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",663,4
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",728,4
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",849,2
"git/firezone/elixir/lib/portal_api/client/channel.ex","handle_in",877,2
"git/electric/packages/sync-service/lib/electric/shape_cache/shape_status.ex","mark_snapshot_started",297,1
"git/supavisor/lib/supavisor/application.ex","short_node_id",166,1
"git/realtime/lib/realtime/tenants.ex","health_check",67,3
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/key_index.ex","read_key_file",30,2
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/key_index.ex","find_end_position",69,1
"git/electric/packages/sync-service/lib/electric/shape_cache/pure_file_storage/key_index.ex","stream_for_actions",100,2
"git/phoenix_live_view/lib/phoenix_live_view/upload_channel.ex","join",59,3
"git/supavisor/lib/supavisor_web/router.ex","check_auth",103,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","index",26,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","show",49,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","create",67,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","update",108,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","update",121,1
"git/firezone/elixir/lib/portal_api/controllers/group_controller.ex","delete",165,1
"git/phoenix_live_view/lib/phoenix_live_view/upload_config.ex","maybe_replace_sole_entry",548,1
"git/realtime/test/support/websocket_client.ex","handle_call",106,2
"git/realtime/test/support/websocket_client.ex","stream_frame",241,2
"git/teslamate/lib/teslamate_web/live/charge_live/cost.ex","handle_event",55,1
"git/teslamate/lib/teslamate_web/live/charge_live/cost.ex","handle_event",68,1
"git/supavisor/lib/supavisor/client_handler/proxy.ex","do_start_proxy_connection",80,3
"git/ecto/lib/ecto/repo/schema.ex","pop_assocs",1129,1
"git/anoma/lib/node/transaction/mempool/mempool.ex","handle_tx",434,1
"git/absinthe/lib/mix/tasks/absinthe.schema.sdl.ex","generate_schema",70,1
"git/asciinema-server/lib/asciinema/workers/compress_recording.ex","perform",13,3
"git/firezone/elixir/lib/portal_api/plugs/ingestion_rate_limit.ex","call",18,1
"git/electric/packages/sync-service/lib/electric/replication/eval/parser.ex","do_validate_order_by",134,2
"git/electric/packages/sync-service/lib/electric/replication/eval/parser.ex","handle_any_or_all",1048,3
"git/electric/packages/sync-service/lib/electric/replication/eval/parser.ex","find_operator_func",1157,2
"git/electric/packages/sync-service/lib/electric/replication/eval/parser.ex","do_handle_function_call",1202,2
"git/realtime/lib/realtime_web/controllers/tenant_controller.ex","delete",190,2
"git/firezone/elixir/lib/portal_api/controllers/gateway_token_controller.ex","create",28,1
"git/firezone/elixir/lib/portal_api/controllers/gateway_token_controller.ex","delete",64,1
"git/firezone/elixir/lib/portal_api/controllers/gateway_token_controller.ex","delete_all",92,1
"git/asciinema-server/lib/asciinema/accounts.ex","confirm_sign_up",244,3
"git/asciinema-server/lib/asciinema/accounts.ex","confirm_login",261,3
"git/asciinema-server/lib/asciinema/accounts.ex","confirm_account_deletion",368,1
"git/absinthe/lib/absinthe/middleware/dataloader.ex","pipeline",48,1
"git/analytics/lib/workers/send_email_report.ex","perform",26,1
"git/ash/lib/ash/policy/check/actor_attribute_equals.ex","match?",18,1
"git/analytics/lib/plausible_web/controllers/api/internal_controller.ex","disable_feature",31,3
"git/firezone/elixir/lib/portal_web/live/actors.ex","handle_params",84,2
